No	Name	Lang
1	SonLife Broadcasting Network|SBN International|SBN	[eng][esp][spa]
2	VSS Test	[nor]
3	Zik HD|Zik|ZIK HD Ukraine|ZIK HD	[ukr]
4	Mist TV|ZIK (Mist TV Lviv)	[ukr]
5	Svoboda	[rus][ukr]
6	Kanal 5 Ukraine HD|5 Kanal (Ukraine)|5 Kanal Ukraine	[ukr]
7	News One HD|News One (Ukraine)	[ukr]
8	Channel 4 (Ukraine)|4 Kanal	[ukr]
9	Svarogichi|Svarozhichi	[rus][ukr]
10	Pershyy Nezalezhnyy Test|Pershyy Nezalezhnyy|Pershij Nezalezhnij	[ukr]
11	TV5 Zaporizhya|TV 5 (Ukraine)	[ukr]
12	Zoriany|Zoryanyy|Zoryanij	[ukr]
13	Donbas Online|Donbass Online|Donbass online	[ukr]
14	ATR HD|ATR	[ukr]
15	Oboz TV|Obozrevatel TV|Obozrevatel TV (Oboz TV)	[ukr]
16	Unian TV	[aac][ukr]
17	Avers|AVERS	[aac][ukr]
18	Unian TV	[aac][ukr]
19	LRT Lituanica	[lit]
20	Visjon Norge|TV Visjon Norge|Visjon Norge HD	[eng][nor]
21	Kanal 10 Sweden|Kanal 10 Sverige|Kanal 10	[swe]
22	GOD Europe|God TV Scandinavia|God TV Europe	[eng]
23	Vision Sverige|TV Vision Sverige	[swe]
24	TBN Nordic	[swe]
25	New Christian TV|Novyy Khristianskiy|New Christian	[rus][ukr]
26	News One|News One (Ukraine)	[ukr]
27	Espreso TV	[ukr]
28	Centralniy Kanal|Centralnyi	[ukr]
29	Glas	[rus][ukr]
30	Karavan TV|Karavan	[rus][ukr]
31	Zik (Ukraine)|Telekanal Zik|ZIK Ukraine	[ukr]
32	Pershyi Nezalezhnyi|Pershyy Nezalezhnyy|Pershij Nezalezhnij	[ukr]
33	RADA|Rada|Rada Ukrainian Parliament Channel	[ukr]
34	Natali	[ukr]
35	Unian TV	[ukr]
36	ICTV|ICTV (Ukraine)|ICTV UA	[ukr]
37	Inter +|Inter+	[ukr]
38	1+1 International	[ukr]
39	Ukraine 24|Ukraïna 24|Ukraina 24	[ukr]
40	Ukraine 24|Ukraïna 24|Ukraina 24 HD	[ukr]
41	Donbass TV|Donbass	[ukr]
42	Rabinovich TV	[rus]
43	Nadiya|Telekanal Nadiya	[ukr]
44	Sonce Ukraine|Sonce|Sonce UA	[ukr]
45	Kanal 5 Ukraine|5 Kanal (Ukraine)|5 Kanal Ukraine	[ukr]
46	KRT|KRT (Ukraine)	[ukr]
47	Vintage|Vintage TV (Ukraine)|Vintage TV	[rus][ukr]
48	Priamyi TV|Pryamyy|Pryamiy	[ukr]
49	Ukrlive Test|Ukr Live|Ukrlive	[ukr]
50	112 Ukraine|112 Ukraïna	[ukr]
51	Nash TV|Nash	[rus][ukr]
52	Belsat TV	[bel]
53	TVGE International|TVGE Internacional	[esp][spa]
54	ATG Live	[eng][swe]
55	SonLife Broadcasting Network|SBN Global	[eng]
56	Kanal 75|Kanal 75 International	[eng][ger][pol]
57	TBN Ukraine|TBN Ukraïna	[ukr]
58	DW-TV (Deutsche Welle)|DW Deutsch	[ger]
