Freq	Pol	SR	Beam	Type	Name	Country	Category	Packages	Encryption	SID	VPID	Audio	PMT	PCR	TXT	Last updated	FTA	Row
10714.25	H	22000 5/6	U.K.	TV	Channel 4 London	Wielka Brytania	Ogólne	Freesat|Sky Digital	FTA	9211	2315	2317[nar]|2316[eng]	256	2315	2318	2017-02-15	Yes	35001001
10714.25	H	22000 5/6	U.K.	TV	Channel 4 South & East	Wielka Brytania	Ogólne	Sky Digital	FTA	9212	2327	2328[eng]	257	2327	2329	2017-02-15	Yes	35001003
10714.25	H	22000 5/6	U.K.	TV	Channel 4 Midlands	Wielka Brytania	Ogólne	Sky Digital	FTA	9213	2332	2333[eng]	258	2332	2334	2017-02-15	Yes	35001005
10714.25	H	22000 5/6	U.K.	TV	Channel 4 North	Wielka Brytania	Ogólne	Sky Digital	FTA	9214	2337	2338[eng]	259	2337	2339	2017-02-15	Yes	35001007
10714.25	H	22000 5/6	U.K.	TV	Channel 4 Scotland	Wielka Brytania	Ogólne	Sky Digital	FTA	9216	2347	2348[eng]	261	2347	2349	2017-02-15	Yes	35001009
10714.25	H	22000 5/6	U.K.	TV	Film4	Wielka Brytania	Filmy	Freesat|Sky Digital	FTA	9220	2353	2355[nar]|2354[eng]	266	2353	2356	2017-02-15	Yes	35001011
10714.25	H	22000 5/6	U.K.	TV	More 4 +1	Wielka Brytania	Ogólne	Freesat|Sky Digital	FTA	9230	2367	2369[nar]|2368[eng]	264	2367	2370	2018-02-16	Yes	35001013
10714.25	H	22000 5/6	U.K.	TV	More 4	Wielka Brytania	Ogólne	Sky Digital	VideoGuard	9231	2322	2324[nar]|2323[eng]	267	2322	2325	2018-07-05	No	35001015
10714.25	H	22000 5/6	U.K.	TV	E4 UK	Wielka Brytania	Ogólne	Sky Digital	FTA	9241	2372	2374[nar]|2373[eng]	263	2372	2375	2018-05-26	Yes	35001017
10714.25	H	22000 5/6	U.K.	TV	Channel 4+1			Sky Digital	VideoGuard	9245	2306	2309[nar]|2307[eng]	269	2306	2308	2018-06-08	No	35001019
10714.25	H	22000 5/6	U.K.	TV	E4 +1	Wielka Brytania	Rozrywka	Sky Digital	VideoGuard	9250	2305	2312[nar]|2310[eng]	265	2305	2311	2018-08-16	No	35001021
10714.25	H	22000 5/6	U.K.	TV	c4 l			Sky Digital	FTA	9281	2315	2316[eng]	262	2315	2318	2017-02-15	Yes	35001023
10758.00	V	22000 5/6	U.K.	TV	ITV 1 London	Wielka Brytania	Ogólne	Freesat|Sky Digital	FTA	10060	3328	3330[nar]|3329[eng]	261	3328	2326	2017-02-15	Yes	47001001
10758.00	V	22000 5/6	U.K.	TV	ITV 2	Wielka Brytania	Ogólne	Freesat|Sky Digital	FTA	10070	3332	3334[nar]|3333[eng]	262	3332	2360	2017-02-15	Yes	47001003
10758.00	V	22000 5/6	U.K.	TV	CITV U.K.	Wielka Brytania	Dzieci	Freesat|Sky Digital	FTA	10071	3336	3338[nar]|3337[eng]	257	3336	2306	2017-02-15	Yes	47001005
10758.00	V	22000 5/6	U.K.	TV	ITV 4	Wielka Brytania	Ogólne	Freesat|Sky Digital	FTA	10072	3340	3342[nar]|3341[eng]	264	3340	2369	2017-02-15	Yes	47001007
10758.00	V	22000 5/6	U.K.	TV	ITV 4 +1	Wielka Brytania	Ogólne	Sky Digital	FTA	10073	2316	2318[nar]|2317[eng]	269	2316	2319	2017-02-15	Yes	47001009
10758.00	V	22000 5/6	U.K.	TV	ITV Be	Wielka Brytania	Ogólne	Sky Digital	FTA	10075	2305	2309[nar]|2308[eng]	258	2305	2310	2017-02-15	Yes	47001011
10758.00	V	22000 5/6	U.K.	TV	ITVi Stream 44			Sky Digital	FTA	10079	3336	3337[eng]	256	3336		2017-02-15	Yes	47001013
10758.00	V	22000 5/6	U.K.	TV	ITV 1 Granada	Wielka Brytania	Ogólne	Freesat|Sky Digital	FTA	10080	3348	3350[nar]|3349[eng]	263	3348	2349	2017-02-15	Yes	47001015
10758.00	V	22000 5/6	U.K.	TV	ITV 1 Anglia East	Wielka Brytania	Ogólne	Freesat|Sky Digital	FTA	10090	3352	3354[nar]|3353[eng]	260	3352	2341	2017-02-15	Yes	47001017
10758.00	V	22000 5/6	U.K.	TV	ITV 1 Anglia East +1	Wielka Brytania	Regionalne	Sky Digital	FTA	10091	2312	2313[eng]	268	2312	2314	2017-02-15	Yes	47001019
10758.00	V	22000 5/6	U.K.	TV	ITV 1 Central West	Wielka Brytania	Ogólne	Freesat|Sky Digital	FTA	10100	3356	3358[nar]|3357[eng]	259	3356	2377	2017-02-15	Yes	47001021
10758.00	V	22000 5/6	U.K.	TV	ITV 1 Meridian East +1	Wielka Brytania	Ogólne	Sky Digital	FTA	10101	2351	2352[eng]	267	2351	2353	2017-02-15	Yes	47001023
10773.00	H	22000 5/6	U.K.	TV	BBC One London	Wielka Brytania	Ogólne	BBC|Freesat|Sky Digital	FTA	6301	5000	5002[nar]|5001[eng]	256	5000	5003	2017-02-15	Yes	51001003
10773.00	H	22000 5/6	U.K.	TV	BBC Two England	Wielka Brytania	Ogólne	BBC|Freesat|Sky Digital	FTA	6302	5100	5102[nar]|5101[eng]	258	5100	5103	2019-02-19	Yes	51001005
10773.00	H	22000 5/6	U.K.	TV	ETV1			Sky Digital	FTA	6306	5000	5001[eng]	257	5000	5003	2017-02-15	Yes	51001007
10773.00	H	22000 5/6	U.K.	TV	BBC Four	Wielka Brytania	Kultura	Sky Digital	FTA	6316	5200	5202[nar]|5201[eng]	259	5200	5203	2017-02-15	Yes	51001009
10773.00	H	22000 5/6	U.K.	TV	CBeebies	Wielka Brytania	Dzieci	Sky Digital	FTA	6318	5200	5202[nar]|5201[eng]	263	5200	5203	2017-02-15	Yes	51001011
10773.00	H	22000 5/6	U.K.	TV	BBC One Lon			Sky Digital	FTA	6321	5000	5002[nar]|5001[eng]	265	5000	5003	2017-02-15	Yes	51001013
10773.00	H	22000 5/6	U.K.	TV	BBC Two			Sky Digital	FTA	6322	5100	5102[nar]|5101[eng]	266	5100	5103	2019-02-19	Yes	51001015
10773.00	H	22000 5/6	U.K.	TV	BBC Four	Wielka Brytania	Kultura	Sky Digital	FTA	6336	5200	5201[eng]	261	5200	5203	2019-01-13	Yes	51001017
10773.00	H	22000 5/6	U.K.	TV	CBeebies			Sky Digital	FTA	6338	5200	5202[nar]|5201[eng]	267	5200	5203	2017-05-15	Yes	51001019
10773.00	H	22000 5/6	U.K.	TV	BBC One West	Wielka Brytania	Ogólne	Sky Digital	FTA	6341	5900	5901[eng]	268	5900	5903	2017-02-15	Yes	51001021
10773.00	H	22000 5/6	U.K.	TV	BBC One Cambridge	Wielka Brytania	Ogólne	Sky Digital	FTA	6351	5700	5701[eng]	269	5700	5703	2017-02-15	Yes	51001023
10773.00	H	22000 5/6	U.K.	TV	BBC One Channel Islands	Wielka Brytania	Ogólne	Sky Digital	FTA	6361	5800	5801[eng]	270	5800	5803	2017-02-15	Yes	51001025
10773.00	H	22000 5/6	U.K.	TV	BBC Red Button 1	Wielka Brytania	Ogólne	Sky Digital	FTA	6390	5400	5402|5401[eng]	262	5400		2019-06-28	Yes	51001027
10773.00	H	22000 5/6	U.K.	TV	6391			Sky Digital	FTA	6391	5000	5052|5001[eng]	264	5000		2017-02-15	Yes	51001029
10788.00	V	22000 5/6	U.K.	TV	BBC One West Midlands	Wielka Brytania	Ogólne	BBC|Freesat|Sky Digital	FTA	10301	5000	5001[eng]	256	5000	5002	2017-02-15	Yes	55001001
10788.00	V	22000 5/6	U.K.	TV	BBC One Yorkshire & Lincolnshire	Wielka Brytania	Ogólne	BBC|Freesat|Sky Digital	FTA	10303	5200	5201[eng]	265	5200	5202	2017-02-15	Yes	55001003
10788.00	V	22000 5/6	U.K.	TV	BBC One East Midlands	Wielka Brytania	Ogólne	BBC|Freesat|Sky Digital	FTA	10305	5401	5402[eng]	260	5401	5403	2017-02-15	Yes	55001005
10788.00	V	22000 5/6	U.K.	TV	BBC One East	Wielka Brytania	Ogólne	BBC|Freesat|Sky Digital	FTA	10306	5500	5501[eng]	261	5500	5502	2017-02-15	Yes	55001007
10788.00	V	22000 5/6	U.K.	TV	BBC Parliament	Wielka Brytania	Informacje	Sky Digital	FTA	10307	5100	5101[eng]	258	5100	5103	2017-02-15	Yes	55001009
