Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
10762	H	30000	3/5	A03	Europe B	2	3	0	0	5
10804	H	29950	2/3	A05	Europe B	2	1	0	0	3
10845	H	30000	3/5	A07	Europe B	0	1	0	0	1
10928	H	30000	3/5	A11	Europe B	0	1	0	0	1
10972	V	27500	3/5	B02	Europe B	2	0	0	0	2
11055	V	27500	4/5	B04	Europe B	0	1	0	0	1
11069	H	354	2/3	B03	Europe A	1	0	0	0	1
11070	H	274|376	1/2|3/5	B03	Europe A	1	0	0	0	1
11071	H	274|334	1/2	B03	Europe A	2	0	0	0	2
11131	V	16593	2/3	B06	Europe B	2	0	0	0	2
11139	H	30000	3/5	B5	Europe B	0	3	0	0	3
11151	V	14375	3/5	B06	Europe B	0	1	0	0	1
11178	V	30000	3/5	B06	Europe B	2	0	0	0	2
11221	H	30000	3/5	C01	Europe A	1	0	0	0	1
11231	V	42000	4/5	C02	Europe A	1	0	0	0	1
11262	H	30000	2/3	C03	Europe B	12	3	0	0	15
11304	H	30000	2/3	C05	Europe B	9	10	0	0	19
11345	H	30000	3/4	C07	Europe B	3	5	0	0	8
11427	V	27500	2/3	C10	Europe B	1	3	0	0	4
11471	V	30000	5/6	D02	Europe B	0	1	0	0	1
11512	V	29950	2/3	D04	Europe B	7	1	0	0	8
11595	H	30000	3/4	D07	Europe B	7	2	0	0	9
11595	V	30000	5/6	D08	Europe B	0	1	0	0	1
11636	V	30000	2/3	D9	Europe A	9	7	0	0	16
11637	H	30000	5/6	D09	Europe B	0	1	0	0	1
11678	H	30000	3/4	D11	Europe B	0	4	0	0	4
12543	V	19970	3/4	F02	Europe B	2	2	0	0	4
12593	V	2500	2/3	F04	Europe B	0	1	0	0	1
12605	H	30000	3/4	F03	Europe B	0	1	0	0	1
12639	H	10833	3/5	F03	Europe B	5	6	0	0	11
12643	V	27500	2/3	F04	Europe B	2	7	0	0	9
12660	H	2222	5/6	F03	Europe B	0	1	0	0	1
12680	H	334	1/2	F05	Europe B	1	0	0	0	1
12694	H	2220	5/6	F05	Europe B	0	1	0	0	1
12699	H	9880	2/3	F05	Europe B	0	4	0	0	4
12717	H	7500	3/4	F05	Europe B	3	2	0	0	5
12737	H	2255	3/4	F05	Europe B	0	1	0	0	1
