Freq	Pol	SR	Beam	Type	Name	FTA	Encryption	SID	VPID	APID Lang	Row
 3663	L	5300-2/3	Hemi	TV	AIT Partners	Yes	MPEG-4/SD	1	512	1062[Eng]	8001
 3663	L	5300-2/3	Hemi	R	Ray Power	Yes		2		1065[Eng]	8001
 3663	L	5300-2/3	Hemi	R	Ray Power Abuja	Yes		3		1063[Eng]	8001
 3668	L	2000-2/3	Hemi	TV	AIT Lagos	Yes	MPEG-4/SD	1	512	4112[Eng]	8004
 3668	L	2000-2/3	Hemi	R	Ray Power Lagos	Yes		2		4114[Eng]	8004
 3684	L	3454-3/5	Hemi	TV	Dove TV (Nigeria)	Yes	MPEG-4/HD	1	513	514[Eng]	8006
 3697	L	1517-3/5	Hemi	TV	Wap TV	Yes	MPEG-4/SD	1	100	110[Eng]	8007
 3701	L	5000-5/6	Hemi	TV	TVC News	Yes	MPEG-4/SD	1	613	5112[Eng]	9000
 3701	L	5000-5/6	Hemi	TV	TVC	Yes	MPEG-4/SD	2	713	6112	9000
 3705	L	1210-5/6	Hemi	TV	Liberty TV (Nigeria)	Yes	MPEG-4/SD	1	101	256[Eng]	9003
 3707	L	1250-3/4	Hemi	TV	Hip TV	Yes	MPEG-2/SD	1	512	4112[Eng]	9004
 3710	L	1540-5/6	Hemi	TV	Osun State Broadcasting Corporation	Yes	MPEG-4/SD	1	4113	4352[Eng]	9005
 3714	L	1725-2/3	Hemi	TV	TVGE Internacional	Yes	MPEG-2/SD	1024	711	731[Spa]	9006
 3800	L	27500-2/3	Hemi	TV	AFN Prime Atlantic	No	MPEG-4/HD|PowerVu|Verimatrix	102	1265	1225[Eng]	9007
 3800	L	27500-2/3	Hemi	TV	AFN News	No	MPEG-4/HD|PowerVu|Verimatrix	103	1565	1525[Eng]	9007
 3800	L	27500-2/3	Hemi	TV	AFN Sports	No	MPEG-4/HD|PowerVu|Verimatrix	104	1165	1125[Eng]	9007
 3800	L	27500-2/3	Hemi	TV	AFN Prime Pacific	No	MPEG-4/HD|PowerVu|Verimatrix	105	1465	1425[Eng]	9007
 3800	L	27500-2/3	Hemi	TV	AFN Spectrum	No	MPEG-4/HD|PowerVu|Verimatrix	106	1365	1325[Eng]	9007
 3800	L	27500-2/3	Hemi	TV	AFN Sports 2	No	MPEG-4/HD|PowerVu|Verimatrix	107	1665	1625[Eng]	9007
 3800	L	27500-2/3	Hemi	TV	AFN Family	No	MPEG-4/HD|PowerVu|Verimatrix	108	1965	1925[Eng]	9007
 3800	L	27500-2/3	Hemi	TV	AFN Movie	No	MPEG-4/HD|PowerVu|Verimatrix	109	1065	1025[Eng]	9007
 3800	L	27500-2/3	Hemi	TV	[test card]	No	MPEG-2/SD|PowerVu|Verimatrix	401	176.	1720	9007
 3800	L	27500-2/3	Hemi	TV	[American Forces Network test card]	No	MPEG-4/SD	402	1860	1820	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Atlantic	No	PowerVu|Verimatrix	120		1737[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Voice	No	PowerVu|Verimatrix	121		1337[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN PowerTalk	No	PowerVu|Verimatrix	122		1730[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN Clutch	No	PowerVu|Verimatrix	123		1127[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN Fans	No	PowerVu|Verimatrix	124		1135[Eng]	9007
 3800	L	27500-2/3	Hemi	R	Hot AC	No	PowerVu|Verimatrix	125		1727[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN Legacy	No	PowerVu|Verimatrix	126		1427[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN's Joe Radio	No	PowerVu|Verimatrix	127		1537[Eng]	9007
 3800	L	27500-2/3	Hemi	R	Gravity	No	PowerVu|Verimatrix	128		1327[Eng]	9007
 3800	L	27500-2/3	Hemi	R	Today's Best Country	No	PowerVu|Verimatrix	129		1535[Eng]	9007
 3800	L	27500-2/3	Hemi	R	NPR Worldwide AFRTS	No	PowerVu|Verimatrix	130		1237[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN Seasonal	No	PowerVu|Verimatrix	131		1726[Eng]	9007
 3800	L	27500-2/3	Hemi	R	The Contingency Channel	No	PowerVu|Verimatrix	132		1402[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN Freedom Radio	No	PowerVu|Verimatrix	133		1527[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Aviano	No	PowerVu|Verimatrix	135		1927[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Bavaria	No	PowerVu|Verimatrix	136		1830[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Benelux	No	PowerVu|Verimatrix	137		1235[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Incirlik	No	PowerVu|Verimatrix	138		1627[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Kaiserslautern	No	PowerVu|Verimatrix	139		1832[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Naples	No	PowerVu|Verimatrix	140		1437[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Rota	No	PowerVu|Verimatrix	141		1435[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Souda Bay	No	PowerVu|Verimatrix	142		1227[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Spangdahlem	No	PowerVu|Verimatrix	143		1027[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Stuttgart	No	PowerVu|Verimatrix	144		1937[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Vicenza	No	PowerVu|Verimatrix	145		1032[Eng]	9007
 3800	L	27500-2/3	Hemi	R	AFN The Eagle Wiesbaden	No	PowerVu|Verimatrix	146		1930[Eng]	9007
 3800	L	27500-2/3	Hemi	R	Sembach Afternoon Radio	No	PowerVu|Verimatrix	148		1940[Eng]	9007
 3843	R	1134-5/6	Hemi	TV	ECWA TV	Yes	MPEG-4/SD	1	258	257[Eng]	9045
 3849	R	2400-2/3	Hemi	TV	Times TV (Malawi)	Yes	MPEG-4/SD	101	1002	1003[Eng]	9047
 3854	R	1291-2/3	Hemi	TV	Label TV	Yes	MPEG-4/SD	1	308	128[Fre]	9049
 3857	R	1520-3/5	Hemi	TV	Galaxy TV Lagos	Yes	MPEG-2/SD	1	512	4112[Eng]	9050
 3858	R	1055-5/6	Hemi	TV	Rave TV	Yes	MPEG-4/SD	1433	512	257[Eng]	9051
 3860	R	1300-5/6	Hemi	TV	Core TV News	Yes	MPEG-4/SD	1	4113	4352[Eng]	9052
 3861	R	1000-3/4	Hemi	TV	Quest TV	Yes	MPEG-2/SD	257	256	512[Eng]	9053
 3877	R	1134-2/3	Hemi	TV	CRBC TV	Yes	MPEG-4/SD	1	512	4112[Eng]	9054
11345	H	30000-3/4	Nordic	TV	SBN International	Yes	MPEG-4/SD	2875	2876	2877[Eng]|2878[Spa]	10004
11345	V	30000-3/4	Nordic	R	DR P2	Yes		1776		1777[Dan]	10006
11345	V	30000-3/4	Nordic	R	DR P3	Yes		1778		1779[Dan]	10006
11345	V	30000-3/4	Nordic	R	DR P1	Yes		1798		1799[Dan]	10006
11727	H	27500-2/3	Sub Saharan Africa	TV	Zuku Zone	Yes	MPEG-4/SD	1	1010	1011[Eng]	11000
11747	V	30000-3/4	Europe BSS	TV	Tellytrack 2	No	MPEG-4/SD|Cryptoguard	7605	100	202[Eng]	11004
