No	Freq	Pol	Beam	SID	Name	Lang
	11644	H	Europe Ku	1050	Radio WaWa Kielce	[pol]
	11644	H	Europe Ku	1070	Radio WaWa Kraków	[pol]
	11644	H	Europe Ku	1100	Radio WaWa Lódz	[pol]
	11644	H	Europe Ku	1120	Radio WaWa Opole	[pol]
	11644	H	Europe Ku	1150	Radio WaWa Torun	[pol]
	11644	H	Europe Ku	1170	Radio WaWa Gdansk	[pol]
	11644	H	Europe Ku	1180	Radio WaWa Wroclaw	[pol]
	11644	H	Europe Ku	1240	Radio WaWa Rzeszów	[pol]
	11644	H	Europe Ku	1260	Radio WaWa Szczecin	[pol]
	11644	H	Europe Ku	1290	Radio WaWa Nowy Sacz	[pol]
	11644	H	Europe Ku	1380	Radio WaWa Warszawa	[pol]
	11644	H	Europe Ku	1480	Radio WaWa Jelenia Gora	[pol]
	11644	H	Europe Ku	1510	Radio WaWa Trzebnica	[pol]
	11644	H	Europe Ku	2000	Radio Eska	[pol]
	11644	H	Europe Ku	2010	Radio Eska Belchatów	[pol]
	11644	H	Europe Ku	2020	Radio Eska Bialystok	[pol]
	11644	H	Europe Ku	2030	Radio Eska Bydgoszcz	[pol]
	11644	H	Europe Ku	2040	Radio Eska Gorzów	[pol]
	11644	H	Europe Ku	2050	Radio Eska Kielce	[pol]
	11644	H	Europe Ku	2060	Radio Eska Siedlce	[pol]
	11644	H	Europe Ku	2070	Radio Eska Kraków	[pol]
	11644	H	Europe Ku	2080	Radio Eska Leszno	[pol]
	11644	H	Europe Ku	2090	Radio Eska Pila	[pol]
	11644	H	Europe Ku	2100	Radio Eska Lódz	[pol]
	11644	H	Europe Ku	2110	Radio Eska Olsztyn	[pol]
	11644	H	Europe Ku	2120	Radio Eska Opole	[pol]
	11644	H	Europe Ku	2130	Radio Eska Lublin	[pol]
	11644	H	Europe Ku	2140	Radio Eska Poznan	[pol]
	11644	H	Europe Ku	2150	Radio Eska Torun	[pol]
	11644	H	Europe Ku	2160	Radio Eska Tarnów	[pol]
	11644	H	Europe Ku	2170	Radio Eska Trójmiasto	[pol]
	11644	H	Europe Ku	2180	Radio Eska Wroclaw	[pol]
	11644	H	Europe Ku	2190	Radio Eska Zielona Góra	[pol]
	11644	H	Europe Ku	2200	Radio Eska Kalisz/Ostrów	[pol]
	11644	H	Europe Ku	2210	Radio Eska Radom	[pol]
	11644	H	Europe Ku	2220	Radio Eska Slask	[pol]
	11644	H	Europe Ku	2230	Radio Eska Zamosc	[pol]
	11644	H	Europe Ku	2240	Radio Eska Rzeszów	[pol]
	11644	H	Europe Ku	2250	Radio Eska Plock	[pol]
	11644	H	Europe Ku	2260	Radio Eska Szczecin	[pol]
	11644	H	Europe Ku	2270	Radio Eska Koszalin	[pol]
	11644	H	Europe Ku	2300	Radio Eska Beskidy	[pol]
	11644	H	Europe Ku	2310	Radio Eska Szczecinek	[pol]
	11644	H	Europe Ku	2320	Radio Eska Przemysl	[pol]
	11644	H	Europe Ku	2330	Radio Eska Malopolska/Zakopane	[pol]
	11644	H	Europe Ku	2360	Radio Eska Krasnik	[pol]
	11644	H	Europe Ku	2400	Radio Eska Starachowice	[pol]
	11644	H	Europe Ku	2420	Radio Eska Zary	[pol]
	11644	H	Europe Ku	2430	Radio Eska Elblag	[pol]
	11644	H	Europe Ku	2440	Radio Eska Ilawa	[pol]
	11644	H	Europe Ku	2450	Radio Eska Grudziadz	[pol]
	11644	H	Europe Ku	2460	Radio Eska Lomza	[pol]
	11644	H	Europe Ku	2480	Radio Eska Wroclaw JG	[pol]
	11644	H	Europe Ku	2500	Radio Eska Ostrzeszów	[pol]
	11644	H	Europe Ku	2520	Radio Eska Braniewo	[pol]
	11644	H	Europe Ku	3040	Radio Vox Gorzów	[pol]
	11644	H	Europe Ku	3140	Radio Vox Poznan	[pol]
	11644	H	Europe Ku	3210	Radio Vox Radom	[pol]
	11644	H	Europe Ku	3990	Radio Vox FM	[pol]
	11644	H	Europe Ku	4000	Radio Plus FM (Poland)	[pol]
	11644	H	Europe Ku	4110	Radio Plus Olsztyn	[pol]
	11644	H	Europe Ku	4130	Radio Plus Lublin	[pol]
	11644	H	Europe Ku	4270	Radio Plus Koszalin	[pol]
	11644	H	Europe Ku	4340	Radio Plus Podhale	[pol]
	11644	H	Europe Ku	8010	Radio Rodzina	[pol]
	11644	H	Europe Ku	8020	Radio Wielkopolska	[pol]
	11675	V	Europe Ku	1000	Radio Zlote Przeboje	[pol]
	11675	V	Europe Ku	2000	Radio Pogoda	[pol]
	11675	V	Europe Ku	3000	Rock Radio (Poland)	[pol]
	11675	V	Europe Ku	4000	Tok FM	[pol]
	11675	V	Europe Ku	6000	Radio Zlote Przeboje	[pol]
	11675	V	Europe Ku	7000	Radio Zlote Przeboje	[pol]
	11676	V	Europe Ku	11000	RMF FM	[pol]
	11676	V	Europe Ku	12000	RMF Classic	[pol]
	11676	V	Europe Ku	13000	RMF Maxxx	[pol]
	11676	V	Europe Ku	14000	RMF Maxxx	[pol]
	11676	V	Europe Ku	15000	RMF Maxxx	[pol]
	11676	V	Europe Ku	16000	RMF Maxxx	[pol]
	11676	V	Europe Ku	17000	RMF Maxxx	[pol]
	11678	V	Europe Ku	21000	RMF Maxxx	[pol]
	11678	V	Europe Ku	22000	RMF Maxxx	[pol]
	11678	V	Europe Ku	23000	RMF Maxxx	[pol]
	11678	V	Europe Ku	24000	RMF Maxxx	[pol]
	11678	V	Europe Ku	25000	Radio Gra Wroclaw	[pol]
	11678	V	Europe Ku	26000	RMF Maxxx	[pol]
	11678	V	Europe Ku	27000	RMF Maxxx	[pol]
	11678	V	Europe Ku	28000	RMF Classic	[pol]
	11678	V	Europe Ku	31000	RMF Maxxx	[pol]
	11678	V	Europe Ku	32000	RMF Maxxx	[pol]
	11678	V	Europe Ku	33000	RMF Maxxx	[pol]
	11678	V	Europe Ku	34000	RMF Maxxx	[pol]
	11678	V	Europe Ku	35000	RMF Maxxx	[pol]
	11678	V	Europe Ku	36000	RMF Maxxx	[pol]
	11678	V	Europe Ku	37000	Radio Gra Torun	[pol]
	11678	V	Europe Ku	38000	RMF Maxxx	[pol]
	11678	V	Europe Ku	51000	RMF Maxxx	[pol]
	11678	V	Europe Ku	52000	Radio Gra Wroclaw	[pol]
	11678	V	Europe Ku	53000	RMF Maxxx	[pol]
	11678	V	Europe Ku	54000	RMF Maxxx	[pol]
	11678	V	Europe Ku	55000	RMF Maxxx	[pol]
	11678	V	Europe Ku	56000	Radio Zlote Przeboje	[pol]
	11678	V	Europe Ku	57000	Radio Zlote Przeboje	[pol]
	11678	V	Europe Ku	58000	RMF Maxxx	[pol]
	11739	V	Europe Wide	6010	NPO Politiek	[dut]
	11739	V	Europe Wide	6015	192 TV	[dut]
	11739	V	Europe Wide	6030	Fox NL	[dut]
	11739	V	Europe Wide	6035	Boomerang Central & Eastern Europe	[dut][eng]
	11739	V	Europe Wide	6036	Boomerang Central & Eastern Europe	[eng]
	11739	V	Europe Wide	6045	Investigation Discovery Nederland	[dut]
	11739	V	Europe Wide	6061	Be2Can (22-04)	[cze]
	11739	V	Europe Wide	6062	Travelxp HD Europe	[cze][eng]
	11739	V	Europe Wide	6063	Travelxp HD Europe	[eng]
	11739	V	Europe Wide	6064	Ceskoslovensko (04-22)	[cze]
	11739	V	Europe Wide	6065	Disney Channel Nederland	[dut][qaa]
	11739	V	Europe Wide	6067	ONS	[dut]
	11739	V	Europe Wide	6068	Fox Sports 4 Nederland	[dut]
	11739	V	Europe Wide	6080	NPO 2	[dut]
	11739	V	Europe Wide	6090	SBS 6	[dut]
	11739	V	Europe Wide	6092	Fox Sports 1 Nederland	[dut]
	11739	V	Europe Wide	6094	The Q You	[eng]
	11739	V	Europe Wide	6095	The Q You	[eng]
	11739	V	Europe Wide	6097	Discovery Channel Nederland	[dut]
	11739	V	Europe Wide	6112	Canal Digitaal informatiekanaal	[dut]
	11739	V	Europe Wide	6113	TV Vlaanderen informatiekanaal	[dut]
	11739	V	Europe Wide	6121	Cartoon Network Nederland	[dut]
	11739	V	Europe Wide	6122	FightBox HD	[eng]
	11739	V	Europe Wide	6125	Retro Music TV	[cze]
	11739	V	Europe Wide	6126	Q-music Vlaanderen	[dut]
	11739	V	Europe Wide	6127	Joe	[dut]
	11739	V	Europe Wide	6128	Arrow Classic Rock	[dut]
	11739	V	Europe Wide	6129	Classicnl	[dut]
	11739	V	Europe Wide	6130	Radio Veronica	[dut]
	11739	V	Europe Wide	6160	Adventure Czechia	[cze]
	11778	V	Europe Wide	5390	Astra promo	[eng]
	11778	V	Europe Wide	5395	SES Ultra HD Demo Channel	[eng]
	11856	V	Europe Wide	7020	RTL 4	[dut]
	11856	V	Europe Wide	7023	RTL 5	[dut]
	11856	V	Europe Wide	7027	RTL 7	[dut]
	11856	V	Europe Wide	7030	VTM	[dut]
	11856	V	Europe Wide	7036	RTL 8	[dut]
	11856	V	Europe Wide	7040	Reality Kings TV (22-06)	[eng]
