Freq	Pol	SR	Beam	Type	Channel	T	Encryption	FTA	Package	Res	Compression	V_PID	A_PID	SID	Owner	Date	Row
11559	V	6666	European	DATA	feeds	F	FTA	Yes				0		0	dreambox	18-Jun-09	2	
11644	H	5500	European	R	Radio Wawa Kielce 104.6 FM	R	FTA	Yes	Grupa ZPR Media		MPEG-4	0	1052[pol]	1050	EnoSat	5-Sep-19	6	
11659	H	3333	European	DATA	feeds	F	FTA	Yes				0		0	dreambox	18-Jun-09	10	
11662	H	6666	European	DATA	feeds	F	FTA	Yes				0		0	dreambox	18-Jun-09	14	
11675	V	1000	European	R	Radio Zlote Przeboje Polska	R	FTA	Yes	Radiova Grupa AGORA		MPEG	0	101[pol]	1000	EnoSat	3-Sep-19	18	
11675	V	1000	European	R	Radio Pogoda Polska	R	FTA	Yes	Radiova Grupa AGORA		MPEG	0	201[pol]	2000	EnoSat	3-Sep-19	20	
11675	V	1000	European	R	Rock Radio Polska	R	FTA	Yes	Radiova Grupa AGORA		MPEG	0	301[pol]	3000	EnoSat	3-Sep-19	22	
11675	V	1000	European	R	Radio TOK FM Polska	R	FTA	Yes	Radiova Grupa AGORA		MPEG	0	401[pol]	4000	EnoSat	3-Sep-19	24	
11675	V	1000	European	R	Radio Pogoda Slask i Zaglebie 94.5 FM	R	FTA	Yes	Radiova Grupa AGORA		MPEG	0	501[pol]	5000	EnoSat	3-Sep-19	26	
11675	V	1000	European	R	Radio Zlote Przeboje Jedrzejov 93.2 FM	R	FTA	Yes	Radiova Grupa AGORA		MPEG	0	601[pol]	6000	EnoSat	3-Sep-19	28	
11675	V	1000	European	R	Radio Zlote Przeboje Wetlina 103.6 FM	R	FTA	Yes	Radiova Grupa AGORA		MPEG	0	701[pol]	7000	EnoSat	3-Sep-19	30	
11675	V	1000	European	DATA	-	R	FTA	Yes	Radiova Grupa AGORA		MPEG	0		8000	EnoSat	3-Sep-19	32	
11675	H	3333	European	DATA	feeds	F	FTA	Yes				0		0	dreambox	18-Jun-09	36	
11676	V	1410	European	R	RMF FM	R	FTA	Yes	Grupa RMF		MPEG	0	1101[pol]	11000	EnoSat	3-Sep-19	40	
11676	V	1410	European	R	RMF Classic	R	FTA	Yes	Grupa RMF		MPEG	0	1201[pol]	12000	EnoSat	3-Sep-19	42	
11676	V	1410	European	R	RMF Maxxx Polska	R	FTA	Yes	Grupa RMF		MPEG	0	1301[pol]	13000	EnoSat	3-Sep-19	44	
11676	V	1410	European	R	RMF Maxxx Trojmiasto 96.4/106.7 FM	R	FTA	Yes	Grupa RMF		MPEG	0	1401[pol]	14000	EnoSat	3-Sep-19	46	
11676	V	1410	European	R	RMF Maxxx Kielce 89.7/98.0/106.5 FM	R	FTA	Yes	Grupa RMF		MPEG	0	1501[pol]	15000	EnoSat	3-Sep-19	48	
11676	V	1410	European	R	RMF Maxxx Pomorze 88.6/91.5/97.2/99.7/101.2/102.9/103.9 FM	R	FTA	Yes	Grupa RMF		MPEG	0	1601[pol]	16000	EnoSat	3-Sep-19	50	
11676	V	1410	European	R	RMF Maxxx Warszawa 95.8 FM	R	FTA	Yes	Grupa RMF		MPEG	0	1701[pol]	17000	EnoSat	3-Sep-19	52	
11676	V	1410	European	DATA	-	R	FTA	Yes	Grupa RMF		MPEG-4	0		18000	EnoSat	3-Sep-19	54	
11678	V	2050	European	R	RMF Maxxx Poznan 93.5 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	2101[pol]	21000	EnoSat	3-Sep-19	58	
11678	V	2050	European	R	RMF Maxxx Szczecin 98.4 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	2201[pol]	22000	EnoSat	3-Sep-19	60	
11678	V	2050	European	R	RMF Maxxx Pila 104.1 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	2301[pol]	23000	EnoSat	3-Sep-19	62	
11678	V	2050	European	R	RMF Maxxx Konin 95.8 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	2401[pol]	24000	EnoSat	3-Sep-19	64	
11678	V	2050	European	R	Radio Gra	R	FTA	Yes	Grupa RMF		MPEG-4	0	2501[pol]	25000	EnoSat	3-Sep-19	66	
11678	V	2050	European	R	RMF Maxxx Bydgoszcz 106.1 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	2601[pol]	26000	EnoSat	3-Sep-19	68	
11678	V	2050	European	R	RMF Maxxx Lubuskie 94.9/101.7 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	2701[pol]	27000	EnoSat	3-Sep-19	70	
11678	V	2050	European	R	RMF Classic Warszawa 98.3 FM	R	FTA	Yes	Grupa RMF		MPEG	0	2801[pol]	28000	EnoSat	3-Sep-19	72	
11678	V	2050	European	R	RMF Maxxx Wloclawek 89.2 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	3101[pol]	31000	EnoSat	3-Sep-19	74	
11678	V	2050	European	R	RMF Maxxx Czestochowa 102.6 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	3201[pol]	32000	EnoSat	3-Sep-19	76	
11678	V	2050	European	R	RMF Maxxx Slask 88.1 FM	R	FTA	Yes	Grupa RMF		MPEG	0	3301[pol]	33000	EnoSat	3-Sep-19	78	
11678	V	2050	European	R	RMF Maxxx Dolny Slask 99.5/101.7 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	3401[pol]	34000	EnoSat	3-Sep-19	80	
11678	V	2050	European	R	RMF Maxxx Krosno 97.6 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	3501[pol]	35000	EnoSat	3-Sep-19	82	
11678	V	2050	European	R	RMF Maxxx Opole 102.0 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	3601[pol]	36000	EnoSat	3-Sep-19	84	
11678	V	2050	European	R	Radio Jura	R	FTA	Yes	Grupa RMF		MPEG-4	0	3701[pol]	37000	EnoSat	3-Sep-19	86	
11678	V	2050	European	R	RMF Maxxx Mazowsze 88.4/89.6/90.2 FM	R	FTA	Yes	Grupa RMF		MPEG	0	3801[pol]	38000	EnoSat	3-Sep-19	88	
11678	V	2050	European	R	RMF Maxxx Inowroclaw 90.8 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	5101[pol]	51000	EnoSat	3-Sep-19	90	
11678	V	2050	European	R	Radio Gra Wroclaw 95.1 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	5201[pol]	52000	EnoSat	3-Sep-19	92	
11678	V	2050	European	R	RMF Maxxx Olesnica 96.0 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	5301[pol]	53000	EnoSat	3-Sep-19	94	
11678	V	2050	European	R	RMF Maxxx Bialystok 97.5 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	5401[pol]	54000	EnoSat	3-Sep-19	96	
11678	V	2050	European	R	RMF Maxxx Nowy Sacz 104.6 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	5501[pol]	55000	EnoSat	3-Sep-19	98	
11678	V	2050	European	R	Radio Zlote Przeboje Tarnow 92.8 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	5601[pol]	56000	EnoSat	3-Sep-19	100	
11678	V	2050	European	R	Radio Zlote Przeboje Nowy Sacz 93.8 FM	R	FTA	Yes	Grupa RMF		MPEG-4	0	5701[pol]	57000	EnoSat	3-Sep-19	102	
11678	V	2050	European	R	Radio Gra	R	FTA	Yes	Grupa RMF		MPEG-4	0	5801[pol]	58000	EnoSat	3-Sep-19	104	
11720	H	30000	European	TV	Fight Network	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1701	1702[eng]	20170	Tanea	11-Aug-19	108	
11720	H	30000	European	TV	Trace Sport Stars	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1711	1712[eng]	20171	Tanea	11-Aug-19	110	
11720	H	30000	European	TV	Extreme Sports Channel	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1721	1722[eng]	20172	Tanea	11-Aug-19	112	
11720	H	30000	European	TV	Motorvision TV	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1731	1732[eng]	20173	Tanea	11-Aug-19	114	
11720	H	30000	European	TV	Zadruga 1	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1751	34[srp]	20175	Tanea	1-Nov-19	116	
11720	H	30000	European	TV	Zadruga 2	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1761	1762[srp]	20176	Tanea	1-Nov-19	118	
11720	H	30000	European	TV	Zadruga 3	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1771	1772[srp]	20177	Tanea	1-Nov-19	120	
11720	H	30000	European	TV	Zadruga 4	TV	FTA	Yes	MTS (Telekom Srbija)	SD	MPEG-4	1781	1782[srp]	20178	Tanea	1-Nov-19	122	
11720	H	30000	European	TV	Belle Amie	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1901	1902[srp]	20190	Frocus	23-May-19	124	
11720	H	30000	European	TV	TV Palma	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1911	1912|1912[srp]	20191	Frocus	23-May-19	126	
11720	H	30000	European	TV	Panon TV	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1921	1922[srp]	20192	Frocus	23-May-19	128	
11720	H	30000	European	TV	Novosadska TV	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1931	1932|1932[srp]	20193	Frocus	23-May-19	130	
11720	H	30000	European	TV	TV Vujic	TV	Conax	No	MTS (Telekom Srbija)	SD	MPEG-4	1941	1942[srp]	20194	Frocus	23-May-19	132	
