Freq	Pol	Beam	SID	Type	Name	Lang	FTA
10758	V	Europe8	17038	TV	4fun Gold Hits	[pol]	Yes
10758	V	Europe8	17039	TV	4fun Dance	[pol]	Yes
10758	V	Europe8	17048	TV	Vox Music TV Polska	[pol]	Yes
10758	V	Europe8	17049	TV	Eska Rock TV	[pol]	Yes
10758	V	Europe8	17050	TV	Polo TV	[pol]	Yes
10758	V	Europe8	17051	TV	Eska TV Extra	[pol]	Yes
10775	H	Wide	1506	TV	IRINN	[per]	Yes
10775	H	Wide	1508	TV	IRIB Quran	[per]	Yes
10775	H	Wide	1514	TV	iFilm TV	[ara][per]	Yes
10775	H	Wide	1520	TV	IRIB Nasim	[per]	Yes
10775	H	Wide	1521	TV	Jame-Jam TV Network	[per]	Yes
10775	H	Wide	1522	TV	Jame-Jam TV 2	[per]	Yes
10775	H	Wide	1523	TV	Jame-Jam TV 3	[per]	Yes
10775	H	Wide	1526	TV	Sahar Balkan (Bosanski)	[bos]	Yes
10775	H	Wide	1527	TV	Sahar Azeri	[aze]	Yes
10775	H	Wide	1528	TV	Sahar Urdu	[urd]	Yes
10775	H	Wide	1529	TV	Sahar Kurdi	[kur]	Yes
10775	H	Wide	1530	TV	Alkawthar TV	[ara]	Yes
10775	H	Wide	1531	TV	Press TV HD	[eng]	Yes
10775	H	Wide	1532	TV	Hispan TV	[spa]	Yes
10775	H	Wide	1533	TV	iFilm English	[eng][per]	Yes
10796	V	Europe9	15703	TV	Vox Music TV Polska	[pol]	Yes
10796	V	Europe9	15704	TV	TV Silesia	[pol]	Yes
10796	V	Europe9	15715	TV	Eska Rock TV	[pol]	Yes
10815	H	Europe8	17308	TV	Vozrojdenie.tv	[eng][ukr]	Yes
10815	H	Europe8	17311	TV	BVN	[dut]	Yes
10815	H	Europe8	17312	TV	CNL	[rus]	Yes
10815	H	Europe8	17317	TV	TBN Rossiya	[rus]	Yes
10815	H	Europe8	17320	TV	Thai TV Global Network	[tha]	Yes
10815	H	Europe8	17344	R	The Overcomer Ministry	[eng]	Yes
10815	H	Europe8	17373	TV	The Word Network	[eng]	Yes
10873	V	Europe9	1	TV	Al Maghribya	[ara]	Yes
10873	V	Europe9	2	TV	Al Aoula Laayoune	[ara]	Yes
10873	V	Europe9	3	TV	Al Aoula Inter HD	[ara]	Yes
10873	V	Europe9	4	TV	Arrabiâ	[ara]	Yes
10873	V	Europe9	5	TV	Al Aoula Inter	[ara]	Yes
10873	V	Europe9	6	TV	Assadissa	[ara]	Yes
10873	V	Europe9	8	TV	Medi 1 TV	[ara]	Yes
10873	V	Europe9	10	TV	Arryadia	[ara]	Yes
10873	V	Europe9	11	R	Chaîne Nationale	[ara]	Yes
10873	V	Europe9	12	R	Radio Régional de Dakhla	[ara]	Yes
10873	V	Europe9	14	R	Chaîne Inter	[fre]	Yes
10873	V	Europe9	15	R	Radio Amazigh	[ara]	Yes
10873	V	Europe9	16	R	Radio Mohammed VI du Saint Coran	[ara]	Yes
10873	V	Europe9	31	TV	Arryadia HD (3)	[ara]	Yes
10873	V	Europe9	50	R	Radio Plus Agadir	[ara]	Yes
10873	V	Europe9	60	R	Radio Al Houceima	[ara]	Yes
10873	V	Europe9	70	R	Radio Tetouan	[ara]	Yes
10873	V	Europe9	80	R	Radio Meknes	[ara]	Yes
10873	V	Europe9	129	R	Radio Méditerranée International	[fre]	Yes
10873	V	Europe9	177	R	Radio Tanger	[ara]	Yes
10873	V	Europe9	178	R	Radio Fes	[ara]	Yes
10873	V	Europe9	179	R	Radio Marrakech (Alwatania)	[ara]	Yes
10873	V	Europe9	241	TV	Tamazight HD	[ber]	Yes
10930	H	Europe9	51	TV	Shant Music HD	[arm]	Yes
10930	H	Europe9	16924	TV	UA TV	[ukr]	Yes
10949	V	Europe8	7403	R	WRN Russkij	[rus]	Yes
10949	V	Europe8	7404	R	WRN English Europe	[eng]	Yes
10949	V	Europe8	7406	R	Radio Jahani	[ara]	Yes
10949	V	Europe8	7407	R	Babcock Events	[eng]	Yes
10949	V	Europe8	7408	R	Babcock Sawt Al Alam	[ara]	Yes
10949	V	Europe8	7456	TV	Al Hiwar HD	[ara]	Yes
10949	V	Europe8	7462	TV	EWTN UK & Ireland	[eng]	Yes
10949	V	Europe8	7463	TV	CNBC Europe	[eng]	Yes
10949	V	Europe8	7466	TV	Imam Hussein TV 3	[eng]	Yes
10949	V	Europe8	7469	R	RFI Persian	[per]	Yes
10949	V	Europe8	7470	TV	Sat-7 Pars (11-21 & 23-09)	[per]	Yes
10949	V	Europe8	7470	TV	Türk-7 (09-11 & 21-23)	[tur]	Yes
10949	V	Europe8	7471	TV	Velayat TV	[per]	Yes
10949	V	Europe8	7475	TV	Imam Hussein 1	[per]	Yes
10992	V	Wide	8511	TV	Rai 1	[ita]	Yes
10992	V	Wide	8512	TV	Rai 2	[ita]	Yes
10992	V	Wide	8513	TV	Rai 3	[ita]	Yes
10992	V	Wide	8515	R	RAI Radio Tutta Italiana	[ita]	Yes
10992	V	Wide	8516	TV	Rai News 24	[ita]	Yes
10992	V	Wide	8554	R	Radio OM unica (Rai Radio 1)	[ita]	Yes
10992	V	Wide	8555	R	Rai Radio 2 mono	[ita]	Yes
10992	V	Wide	8556	R	Rai Radio 3 mono	[ita]	Yes
11034	V	Europe9	1701	TV	Algérie 5 (TV Coran)	[ara]	Yes
11034	V	Europe9	1702	TV	Algérie 4 (TV Tamazight)	[ber]	Yes
11034	V	Europe9	1703	TV	TNT International	[rus]	Yes
11034	V	Europe9	1704	TV	Shanson TV International	[rus]	Yes
11034	V	Europe9	1706	TV	CGTN	[eng]	Yes
11034	V	Europe9	1707	TV	STS International	[rus]	Yes
11034	V	Europe9	1708	TV	RTR Planeta	[rus]	Yes
11034	V	Europe9	1709	TV	Boutique TV	[rus]	Yes
11034	V	Europe9	1710	TV	Rossiya 24	[rus]	Yes
11034	V	Europe9	1711	R	Chaîne 2	[ber]	Yes
11034	V	Europe9	1712	TV	TV Rus	[rus]	Yes
11034	V	Europe9	1713	TV	NTV Mir	[rus]	Yes
11034	V	Europe9	1717	TV	Ganj e Hozour TV	[per]	Yes
11034	V	Europe9	1718	TV	8 Kanal International	[rus]	Yes
11034	V	Europe9	1731	R	Chaîne 3	[ara]	Yes
11034	V	Europe9	1751	R	Chaîne 1	[ara]	Yes
