No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	11727	V	30000			Wide	14	16	0	0	30
	11747	H	30000			Wide	0	22	0	0	22
	11785	H	27500			Wide	0	13	0	0	13
	11804	V	27500			Wide	0	8	2	0	10
	11823	H	27500			Wide	3	4	0	4	11
	11843	V	27500			Wide	0	10	1	0	11
	11862	H	27500			Wide	0	7	0	0	7
	11881	V	27500			Wide	0	8	0	0	8
	11900	H	27500			Wide	0	11	0	0	11
	11919	V	27500			Wide	5	9	0	0	14
	11938	H	27500			Wide	0	8	2	0	10
	11958	V	27500			Wide	15	7	0	0	22
	11977	H	27500			Wide	0	12	0	0	12
	11996	V	27500			Wide	0	10	0	1	11
	12015	H	27500			Wide	0	6	0	0	6
	12034	V	27500			Wide	1	12	0	0	13
	12054	H	27500			Greece	0	17	0	0	17
	12073	V	30000			Wide	10	28	0	0	38
	12092	H	27500			Wide	0	6	0	0	6
	12111	V	27500|31400			Italy	0	1	1	0	2
	12111	V	27500			NordicEE	1	20	1	0	22
	12130	H	27500			GermanyA	0	10	0	0	10
	12149	V	31400			Italy	0	16	2	0	18
	12149	V	27500			NordicEE	0	16	0	0	16
	12169	H	27500			Italy	0	16	1	0	17
	12170	H	27500			Greece	0	4	1	0	5
	12188	V	31400			Greece	0	15	0	2	17
	12188	V	27500			Wide	0	19	0	0	19
	12207	H	27500			Greece	0	15	0	0	15
	12245	H	27500			GermanyA	0	6	0	0	6
	12284	H	27500			Greece	0	16	1	0	17
	12322	H	27500			GermanyA	0	13	0	0	13
	12360	H	27500			GermanyA	0	8	1	0	9
	12399	H	27500			Greece	0	18	0	0	18
	12437	H	27500			GermanyA	0	10	0	2	12
	12466	V	41950			Italy	0	29	0	0	29
	12476	H	27500			Greece	0	12	0	0	12
